"subid","run","trial_number","block_type","congruence","trial_type","RT"
506,1,1,1,NA,2,0
506,1,2,1,NA,2,1.43566584587097
506,1,3,1,NA,2,0
506,1,4,1,NA,1,1.29227423667908
506,1,5,1,NA,2,0
506,1,6,1,NA,1,1.24437355995178
506,1,7,1,NA,2,0.695864200592041
506,1,8,1,NA,2,1.06832456588745
506,1,9,1,NA,2,0
506,1,10,1,NA,2,1.33288311958313
506,1,11,1,NA,1,0.968070268630981
506,1,12,1,NA,1,1.27864670753479
506,1,13,1,NA,2,1.18256521224976
506,1,14,1,NA,1,0
506,1,15,1,NA,2,0.99839973449707
506,1,16,1,NA,1,1.13012862205505
506,1,17,1,NA,2,1.19801044464111
506,1,18,1,NA,2,0
506,1,19,1,NA,2,1.01001811027527
506,1,20,1,NA,2,0.933194637298584
506,1,21,1,NA,2,1.42080426216125
506,1,22,1,NA,2,1.4574339389801
506,1,23,1,NA,1,0.941441059112549
506,1,24,1,NA,2,1.30477833747864
506,1,25,1,NA,2,0.981588125228882
506,1,26,1,NA,2,0.929610252380371
506,1,27,1,NA,1,1.50942969322205
506,1,28,1,NA,2,1.24176335334778
506,1,29,1,NA,2,1.42464423179626
506,1,30,1,NA,2,1.26484394073486
506,1,31,1,NA,2,1.77215838432312
506,1,32,1,NA,2,1.26693034172058
506,1,33,1,NA,2,0
506,1,34,1,NA,2,1.13192343711853
506,1,35,1,NA,2,0
506,1,36,1,NA,1,1.319411277771
506,1,37,1,NA,1,1.25105333328247
506,1,38,1,NA,2,1.15811681747437
506,1,39,1,NA,2,1.00605535507202
506,1,40,1,NA,2,0.978673696517944
506,1,41,1,NA,2,1.26533031463623
506,1,42,1,NA,2,1.01394152641296
506,1,43,1,NA,2,1.32165360450745
506,1,44,1,NA,2,0
506,1,45,1,NA,2,0
506,1,46,1,NA,2,0.90606427192688
506,1,47,1,NA,2,1.24672627449036
506,1,48,1,NA,2,1.09422659873962
506,1,49,1,NA,2,0.858908414840698
506,1,50,1,NA,2,1.07154655456543
506,1,51,1,NA,2,1.02699184417725
506,1,52,1,NA,1,0
506,1,53,1,NA,2,1.00750255584717
506,1,54,1,NA,2,0.931983470916748
506,1,55,1,NA,2,1.93543100357056
506,1,56,1,NA,2,1.5669322013855
506,1,57,1,NA,2,1.41964626312256
506,1,58,1,NA,2,1.2156035900116
506,1,59,1,NA,1,1.25606417655945
506,1,60,1,NA,2,0.875970602035522
506,2,1,1,1,2,1.40893626213074
506,2,2,1,1,2,1.20558619499207
506,2,3,1,1,2,1.17705512046814
506,2,4,1,1,2,1.35762310028076
506,2,5,1,1,1,0.993080377578735
506,2,6,1,1,2,0.916520357131958
