PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27491478","Cognitive inflexibility in Obsessive-Compulsive Disorder","Gruner P, Pittenger C.","Neuroscience. 2017 Mar 14;345:243-255. doi: 10.1016/j.neuroscience.2016.07.030. Epub 2016 Aug 1.","Gruner P","Neuroscience","2017","2016/08/06","PMC5288350","NIHMS807301","10.1016/j.neuroscience.2016.07.030"
"39989611","The relationship between SV2A levels, neural activity, and cognitive function in healthy humans: A [11C]UCB-J PET and fMRI study","Shatalina E, Onwordi EC, Whitehurst T, Whittington A, Mansur A, Arumuham A, Statton B, Berry A, Marques TR, Gunn RN, Natesan S, Nour MM, Rabiner EA, Wall MB, Howes OD.","Imaging Neurosci (Camb). 2024 Jun 10;2:1-16. doi: 10.1162/imag_a_00190. eCollection 2024 Jun 1.","Shatalina E","Imaging Neurosci (Camb)","2024","2025/02/24","PMC11840333","","10.1162/imag_a_00190"
"36807013","Does prefrontal connectivity during task switching help or hinder children's performance?","Schwarze SA, Laube C, Khosravani N, Lindenberger U, Bunge SA, Fandakova Y.","Dev Cogn Neurosci. 2023 Apr;60:101217. doi: 10.1016/j.dcn.2023.101217. Epub 2023 Feb 15.","Schwarze SA","Dev Cogn Neurosci","2023","2023/02/22","PMC9969289","","10.1016/j.dcn.2023.101217"
"17412678","Shifting and stopping: fronto-striatal substrates, neurochemical modulation and clinical implications","Robbins TW.","Philos Trans R Soc Lond B Biol Sci. 2007 May 29;362(1481):917-32. doi: 10.1098/rstb.2007.2097.","Robbins TW","Philos Trans R Soc Lond B Biol Sci","2007","2007/04/07","PMC2430006","","10.1098/rstb.2007.2097"
"36226894","Neural correlates of affective task switching and asymmetric affective task switching costs","Eckart C, Kraft D, Rademacher L, Fiebach CJ.","Soc Cogn Affect Neurosci. 2023 Feb 23;18(1):nsac054. doi: 10.1093/scan/nsac054.","Eckart C","Soc Cogn Affect Neurosci","2023","2022/10/13","PMC9949498","","10.1093/scan/nsac054"
"35331870","Temporally and functionally distinct large-scale brain network dynamics supporting task switching","Mitsuhashi T, Sonoda M, Firestone E, Sakakura K, Jeong JW, Luat AF, Sood S, Asano E.","Neuroimage. 2022 Jul 1;254:119126. doi: 10.1016/j.neuroimage.2022.119126. Epub 2022 Mar 22.","Mitsuhashi T","Neuroimage","2022","2022/03/25","PMC9173207","NIHMS1811920","10.1016/j.neuroimage.2022.119126"
"33932747","Dynamic task-linked switching between brain networks - A tri-network perspective","Shaw SB, McKinnon MC, Heisz J, Becker S.","Brain Cogn. 2021 Jul;151:105725. doi: 10.1016/j.bandc.2021.105725. Epub 2021 Apr 28.","Shaw SB","Brain Cogn","2021","2021/05/01","","","10.1016/j.bandc.2021.105725"
"14597296","Within-task switching in the verbal domain","Gurd JM, Weiss PH, Amunts K, Fink GR.","Neuroimage. 2003 Nov;20 Suppl 1:S50-7. doi: 10.1016/j.neuroimage.2003.09.022.","Gurd JM","Neuroimage","2003","2003/11/05","","","10.1016/j.neuroimage.2003.09.022"
"27803662","Real-Time fMRI in Neuroscience Research and Its Use in Studying the Aging Brain","Rana M, Varan AQ, Davoudi A, Cohen RA, Sitaram R, Ebner NC.","Front Aging Neurosci. 2016 Oct 18;8:239. doi: 10.3389/fnagi.2016.00239. eCollection 2016.","Rana M","Front Aging Neurosci","2016","2016/11/03","PMC5067937","","10.3389/fnagi.2016.00239"
"33675917","Task Switching and the Role of Motor Reprogramming in Parietal Structures","Petruo VA, Beste C.","Neuroscience. 2021 May 1;461:23-35. doi: 10.1016/j.neuroscience.2021.02.030. Epub 2021 Mar 4.","Petruo VA","Neuroscience","2021","2021/03/06","","","10.1016/j.neuroscience.2021.02.030"
"34847482","Fluid intelligence and naturalistic task impairments after focal brain lesions","Smith V, Pinasco C, Achterberg J, Mitchell DJ, Das T, Roca M, Duncan J.","Cortex. 2022 Jan;146:106-115. doi: 10.1016/j.cortex.2021.09.020. Epub 2021 Nov 3.","Smith V","Cortex","2022","2021/11/30","PMC8769046","","10.1016/j.cortex.2021.09.020"
"39004756","Task and stimulus coding in the multiple-demand network","Shashidhara S, Assem M, Glasser MF, Duncan J.","Cereb Cortex. 2024 Jul 3;34(7):bhae278. doi: 10.1093/cercor/bhae278.","Shashidhara S","Cereb Cortex","2024","2024/07/14","PMC11246790","","10.1093/cercor/bhae278"
"9654384","Neural correlates of attention and arousal: insights from electrophysiology, functional neuroimaging and psychopharmacology","Coull JT.","Prog Neurobiol. 1998 Jul;55(4):343-61. doi: 10.1016/s0301-0082(98)00011-2.","Coull JT","Prog Neurobiol","1998","1998/07/08","","","10.1016/s0301-0082(98)00011-2"
"23913872","Task switching in traumatic brain injury relates to cortico-subcortical integrity","Leunissen I, Coxon JP, Caeyenberghs K, Michiels K, Sunaert S, Swinnen SP.","Hum Brain Mapp. 2014 May;35(5):2459-69. doi: 10.1002/hbm.22341. Epub 2013 Aug 2.","Leunissen I","Hum Brain Mapp","2014","2013/08/06","PMC6869801","","10.1002/hbm.22341"
"36298387","Reorganization of Brain Functional Network during Task Switching before and after Mental Fatigue","Zhong H, Wang J, Li H, Tian J, Fang J, Xu Y, Jiao W, Li G.","Sensors (Basel). 2022 Oct 21;22(20):8036. doi: 10.3390/s22208036.","Zhong H","Sensors (Basel)","2022","2022/10/27","PMC9611295","","10.3390/s22208036"
"17383865","Emotional and cognitive changes during adolescence","Yurgelun-Todd D.","Curr Opin Neurobiol. 2007 Apr;17(2):251-7. doi: 10.1016/j.conb.2007.03.009. Epub 2007 Mar 26.","Yurgelun-Todd D","Curr Opin Neurobiol","2007","2007/03/27","","","10.1016/j.conb.2007.03.009"
"27053205","Brain Signal Variability Differentially Affects Cognitive Flexibility and Cognitive Stability","Armbruster-Genç DJ, Ueltzhöffer K, Fiebach CJ.","J Neurosci. 2016 Apr 6;36(14):3978-87. doi: 10.1523/JNEUROSCI.2517-14.2016.","Armbruster-Genç DJ","J Neurosci","2016","2016/04/08","PMC6705511","","10.1523/JNEUROSCI.2517-14.2016"
"39467932","Mapping common and distinct brain correlates among cognitive flexibility tasks: concordant evidence from meta-analyses","Chuikova ZV, Filatov AA, Faber AY, Arsalidou M.","Brain Imaging Behav. 2025 Feb;19(1):50-71. doi: 10.1007/s11682-024-00921-7. Epub 2024 Oct 29.","Chuikova ZV","Brain Imaging Behav","2025","2024/10/29","PMC11846771","","10.1007/s11682-024-00921-7"
"32709415","Brain Mechanisms Supporting Flexible Cognition and Behavior in Adolescents With Autism Spectrum Disorder","Uddin LQ.","Biol Psychiatry. 2021 Jan 15;89(2):172-183. doi: 10.1016/j.biopsych.2020.05.010. Epub 2020 May 20.","Uddin LQ","Biol Psychiatry","2021","2020/07/26","PMC7677208","NIHMS1596748","10.1016/j.biopsych.2020.05.010"
"29682753","Coupling of respiration and attention via the locus coeruleus: Effects of meditation and pranayama","Melnychuk MC, Dockree PM, O'Connell RG, Murphy PR, Balsters JH, Robertson IH.","Psychophysiology. 2018 Sep;55(9):e13091. doi: 10.1111/psyp.13091. Epub 2018 Apr 22.","Melnychuk MC","Psychophysiology","2018","2018/04/24","","","10.1111/psyp.13091"
"33649455","A neural model of vulnerability and resilience to stress-related disorders linked to differential susceptibility","Homberg JR, Jagiellowicz J.","Mol Psychiatry. 2022 Jan;27(1):514-524. doi: 10.1038/s41380-021-01047-8. Epub 2021 Mar 1.","Homberg JR","Mol Psychiatry","2022","2021/03/02","","","10.1038/s41380-021-01047-8"
"35552233","Brain Functional Connectivity Mapping of Behavioral Flexibility in Rhesus Monkeys","Grant KA, Newman N, Lynn C, Davenport C, Gonzales S, Cuzon Carlson VC, Kroenke CD.","J Neurosci. 2022 Jun 15;42(24):4867-4878. doi: 10.1523/JNEUROSCI.0816-21.2022. Epub 2022 May 12.","Grant KA","J Neurosci","2022","2022/05/13","PMC9188385","","10.1523/JNEUROSCI.0816-21.2022"
"30954711","Resting state functional connectivity and cognitive task-related activation of the human claustrum","Krimmel SR, White MG, Panicker MH, Barrett FS, Mathur BN, Seminowicz DA.","Neuroimage. 2019 Aug 1;196:59-67. doi: 10.1016/j.neuroimage.2019.03.075. Epub 2019 Apr 4.","Krimmel SR","Neuroimage","2019","2019/04/08","PMC6629463","NIHMS1034036","10.1016/j.neuroimage.2019.03.075"
"21998090","The many faces of preparatory control in task switching: reviewing a decade of fMRI research","Ruge H, Jamadar S, Zimmermann U, Karayanidis F.","Hum Brain Mapp. 2013 Jan;34(1):12-35. doi: 10.1002/hbm.21420. Epub 2011 Oct 14.","Ruge H","Hum Brain Mapp","2013","2011/10/15","PMC6870098","","10.1002/hbm.21420"
"40010687","Mitochondria and Cognition: An [(18)F]BCPP-EF Positron Emission Tomography Study of Mitochondrial Complex I Levels and Brain Activation During Task Switching","Shatalina E, Whitehurst T, Onwordi EC, Whittington A, Mansur A, Arumuham A, Marques TR, Gunn RN, Natesan S, Nour MM, Rabiner EA, Wall MB, Howes OD.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2025 Aug;10(8):823-832. doi: 10.1016/j.bpsc.2025.02.007. Epub 2025 Feb 24.","Shatalina E","Biol Psychiatry Cogn Neurosci Neuroimaging","2025","2025/02/26","","","10.1016/j.bpsc.2025.02.007"
"25734897","Domain-independent neural underpinning of task-switching: an fMRI investigation","Vallesi A, Arbula S, Capizzi M, Causin F, D'Avella D.","Cortex. 2015 Apr;65:173-83. doi: 10.1016/j.cortex.2015.01.016. Epub 2015 Feb 7.","Vallesi A","Cortex","2015","2015/03/04","","","10.1016/j.cortex.2015.01.016"
"32717295","Effects of Nicotine on Task Switching and Distraction in Non-smokers. An fMRI Study","Ahrens S, Thiel CM.","Neuroscience. 2020 Sep 15;444:43-53. doi: 10.1016/j.neuroscience.2020.07.029. Epub 2020 Jul 25.","Ahrens S","Neuroscience","2020","2020/07/28","","","10.1016/j.neuroscience.2020.07.029"
"18601941","Shifting set about task switching: behavioral and neural evidence for distinct forms of cognitive flexibility","Ravizza SM, Carter CS.","Neuropsychologia. 2008 Oct;46(12):2924-35. doi: 10.1016/j.neuropsychologia.2008.06.006. Epub 2008 Jun 14.","Ravizza SM","Neuropsychologia","2008","2008/07/08","PMC2553424","NIHMS66198","10.1016/j.neuropsychologia.2008.06.006"
"28836577","Oxytocin Modulates Attention Switching Between Interoceptive Signals and External Social Cues","Yao S, Becker B, Zhao W, Zhao Z, Kou J, Ma X, Geng Y, Ren P, Kendrick KM.","Neuropsychopharmacology. 2018 Jan;43(2):294-301. doi: 10.1038/npp.2017.189. Epub 2017 Sep 27.","Yao S","Neuropsychopharmacology","2018","2017/08/25","PMC5729568","","10.1038/npp.2017.189"
"37393797","Neural correlates of perceptual switching and their association with empathy and alexithymia in individuals with and without autism spectrum disorder","Tei S, Itahashi T, Aoki YY, Kubota M, Hashimoto RI, Nakamura M, Okuzumi S, Takahashi H, Ohta H, Fujino J.","J Psychiatr Res. 2023 Aug;164:322-328. doi: 10.1016/j.jpsychires.2023.06.035. Epub 2023 Jun 26.","Tei S","J Psychiatr Res","2023","2023/07/02","","","10.1016/j.jpsychires.2023.06.035"
"34173997","Effective connectivity underlying reward-based executive control","Hippmann B, Tzvi E, Göttlich M, Weiblen R, Münte TF, Jessen S.","Hum Brain Mapp. 2021 Oct 1;42(14):4555-4567. doi: 10.1002/hbm.25564. Epub 2021 Jun 26.","Hippmann B","Hum Brain Mapp","2021","2021/06/26","PMC8410574","","10.1002/hbm.25564"
"35605683","Partially shared neural mechanisms of language control and executive control in bilinguals: Meta-analytic comparisons of language and task switching studies","Jiao L, Meng N, Wang Z, Schwieter JW, Liu C.","Neuropsychologia. 2022 Jul 29;172:108273. doi: 10.1016/j.neuropsychologia.2022.108273. Epub 2022 May 21.","Jiao L","Neuropsychologia","2022","2022/05/23","","","10.1016/j.neuropsychologia.2022.108273"
"37093304","Accurate localization and coactivation profiles of the frontal eye field and inferior frontal junction: an ALE and MACM fMRI meta-analysis","Bedini M, Olivetti E, Avesani P, Baldauf D.","Brain Struct Funct. 2023 May;228(3-4):997-1017. doi: 10.1007/s00429-023-02641-y. Epub 2023 Apr 24.","Bedini M","Brain Struct Funct","2023","2023/04/24","PMC10147761","","10.1007/s00429-023-02641-y"
"41243112","Aging-related changes in cognitive flexibility: fMRI meta-analysis","Chuikova Z, Faber A, Filatov A, Myachykov A, Shtyrov Y, Arsalidou M.","Behav Brain Funct. 2025 Nov 16;21(1):40. doi: 10.1186/s12993-025-00301-1.","Chuikova Z","Behav Brain Funct","2025","2025/11/16","PMC12621379","","10.1186/s12993-025-00301-1"
"25445184","Understanding bimanual coordination across small time scales from an electrophysiological perspective","Rueda-Delgado LM, Solesio-Jofre E, Serrien DJ, Mantini D, Daffertshofer A, Swinnen SP.","Neurosci Biobehav Rev. 2014 Nov;47:614-35. doi: 10.1016/j.neubiorev.2014.10.003.","Rueda-Delgado LM","Neurosci Biobehav Rev","2014","2014/12/03","","","10.1016/j.neubiorev.2014.10.003"
"24791708","Dissociating strategy-dependent and independent components in task preparation","De Baene W, Brass M.","Neuropsychologia. 2014 Sep;62:331-40. doi: 10.1016/j.neuropsychologia.2014.04.015. Epub 2014 Apr 30.","De Baene W","Neuropsychologia","2014","2014/05/06","","","10.1016/j.neuropsychologia.2014.04.015"
